产品,课程页面,锚文本,跳转链接
Uno and Mega Kit for Arduino,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/#about-the-mega-uno-kit,Mega/Uno Kit,https://www.sunfounder.com/products/mega2560-project-starter-kit
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/blinking_led.html,breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/servo.html,Servo,https://www.sunfounder.com/collections/servos
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/lcd1602.html,LCD1602,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/ultrasonic.html,ultrasonic sensor,https://www.sunfounder.com/products/hcsr04-distance-sensor
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/blinking_led_uno.html,breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/servo_uno.html,Servo,https://www.sunfounder.com/collections/servos
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/lcd1602_uno.html,LCD1602,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/uno-mega-kit/en/latest/ultrasonic_uno.html,ultrasonic sensor,https://www.sunfounder.com/products/hcsr04-distance-sensor
Super Kit V2 for Raspberry Pi,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/index.html,super kit is suitable for the Raspberry Pi,https://www.sunfounder.com/products/super-starter-kit-v2
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/preparation/what_do_we_need.html,screen,https://www.sunfounder.com/collections/monitors
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/preparation/what_do_we_need.html,a USB keyboard and a USB mouse,https://www.sunfounder.com/products/keyboard-mouse
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/preparation/what_do_we_need.html,case,https://www.sunfounder.com/collections/raspberry-pi-cases
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/preparation/set_up_your_raspberry_pi.html,screen,https://www.sunfounder.com/collections/monitors
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/Lesson_8_rotary_encoder.html,rotary encoder,https://www.sunfounder.com/products/rotary-encoder-module
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/Lesson_12_driving_dot-matrix_by_74hc595.html,dot matrix LED,https://www.sunfounder.com/products/rgb-matrix
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/Lesson_13_lcd1602.html,LCD1602,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/superkit-v2-pi/en/latest/Lesson_14_adxl345.html,acceleration sensor ADXL345,https://www.sunfounder.com/products/digital-accelerometer
Super Kit V3 for Raspberry Pi,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/,super kit is suitable for the Raspberry Pi,https://www.sunfounder.com/products/starter-kit-v3-for-raspberrypi
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/t_extension_board.html,GPIO Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/rab_holder.html,RAB Holder,https://www.sunfounder.com/products/new-rab-holder-kit
